acc	sub_clade
HQ850279	1
HQ639944	2
HQ639936	6
HM777358	2
EF407457	1
DQ988074	4
KT595242	5
JF735138	4
JF735136	4
JF735135	4
JF735134	4
JF735132	4
JF735131	4
JF735130	4
JF735129	4
JF735127	4
JN714194	3
EF108306	7
KM252792	6
KM252791	6
KM252790	6
KM252789	6
KJ567652	6
KJ567651	6
KJ567650	6
KJ567649	6
KJ567648	6
KJ567647	6
KJ567646	6
KJ567645	6
KJ567644	6
EU781828	1
EU781827	1
KJ470625	6
KJ470624	6
KJ470623	6
KJ470622	6
KJ470621	6
KJ470620	6
KJ470619	3
KJ470618	3
JF735126	3
KJ439782	1
KJ439781	1
KJ439780	1
KJ439779	1
KJ439778	1
KJ439777	1
KJ439776	1
KJ439775	1
KJ439774	1
KJ439773	1
KJ439772	1
KJ439768	1
KC844050	2
KC844042	2
KC844040	6
KC844039	6
KC197239	2
KC197238	2
KC197237	2
KC197236	2
KC248199	1
KC248198	1
KC248197	1
KC248196	1
KC248195	1
KC248194	1
KC248193	1
JX227977	4
JX227976	4
JX227972	4
JX227971	4
JX227970	4
JX227967	2
JX227964	4
JX227963	4
JX227960	4
JX227959	4
JX227957	4
JX227955	3
JX227954	3
JX227953	2
JX227949	2
JF735124	3
JF735123	3
JF735122	3
JF735121	3
JQ065709	3
JX183558	6
JX183557	6
JX183556	6
JX183554	6
JX183553	6
JX183552	6
JX183551	6
JX183550	6
JX183549	6
JF735120	2
JF735119	2
JF735118	2
JF735117	2
JF735116	2
JF735115	2
JF735114	2
JF735113	2
JF735112	2
JF735111	2
JF735110	2
HQ537009	4
HQ537008	4
HQ537007	1
AB661388	2
AB661382	2
AY859526	6
HM777359	2
EF424629	6
EF424628	6
EF424627	6
EF424626	6
EF424625	6
AY651061	1
EU246940	6
EU246939	6
EU246938	6
EU246936	6
EU246934	6
EU246932	6
EU246931	6
EU246930	6
DQ314806	6
DQ314805	6
FJ839870	4
FJ839869	4
FJ462441	4
FJ462440	4
FJ462439	4
FJ462438	4
FJ462437	4
FJ462436	4
FJ462435	4
FJ462434	4
FJ462433	4
FJ462432	4
FJ462431	4
EU408328	6
EU408329	6
EU643836	6
EU643834	6
AY051292	1
AF064490	5
FJ407092	3
EU158186	6
EU798761	6
EU798760	6
EU408332	6
EU408331	6
EU408330	6
FJ025856	4
FJ025855	4
FJ025854	4
AB031663	2
MZ504976	6
MZ504973	6
MZ171134	6
MZ171127	6
AM910652	1
EU392175	4
EU392174	4
EU392173	4
EU392172	4
EU392171	4
EF632071	6
HPCPOLP	2
HPCJ8G	2
DQ418789	4
DQ418786	4
DQ835770	6
DQ835769	6
DQ835768	6
DQ835767	6
DQ835766	6
DQ835762	6
DQ835761	6
DQ835760	6
DQ278894	6
DQ278893	6
DQ278891	6
HPCPLYPRE	1
HPCHUMR	1
HPCCGAA	1
HPCJCG	1
MW041299	2
MW041298	2
MW041297	2
MW041296	2
MW041295	2
MW041294	2
DQ278892	6
HPCFG	3
D84265	6
D84264	6
D84263	6
D84262	6
AB047639	2
AB030907	2
Y13184	5
Y12083	6
Y11604	4
D50409	2
HPCJK049E1	3
HPCJK046E2	6
HPCK3A	3
HPCEGS	3
HPCCGS	1
X76918	3
AJ278830	1
MN240359	6
EF589161	4
MH492362	6
MH492361	6
MH492360	6
MH921830	1
MH885469	1
MG879000	6
MG878999	6
MH590701	8
MH590700	8
MH590699	8
MH590698	8
KY348757	1
FN666428	2
FN666429	2
AJ851228	1
KU861171	7
KX092342	7
DQ155561	2
