acc	sub_clade
JQ685990	Arctic
KX148152	Cosmopolitan
KX148117	Cosmopolitan
FJ712194	Asian
KX148112	Cosmopolitan
JQ685950	Bats
KX148253	Asian
AF325495	Bats
KF155002	Cosmopolitan
KX148225	Arctic
KX148235	Africa-2
GU345746	Asian
JQ685920	Bats
KX148230	Africa-2
KX148254	Asian
KF155000	Cosmopolitan
KX148196	Cosmopolitan
KX148226	Arctic
JQ686001	Bats
AF325467	Cosmopolitan
AF351859	Bats
JQ685946	Bats
KF154998	Cosmopolitan
AB383170	Bats
KX148247	Asian
KX148202	Cosmopolitan
JQ685917	Bats
KX148161	Cosmopolitan
JQ970484	Asian
KX148248	Asian
KX148194	Cosmopolitan
JQ685989	Cosmopolitan
JQ685985	Cosmopolitan
KF154999	Indian-Sub
AB645847	Cosmopolitan
KX148154	Cosmopolitan
JQ685967	Cosmopolitan
KX148188	Cosmopolitan
KX148242	Africa-2
JQ685964	Bats
JQ685999	Bats
KX148234	Africa-2
JQ685940	Bats
JQ970486	Asian
JQ685918	Bats
KX148193	Cosmopolitan
KX148251	Asian
KX148128	Cosmopolitan
JQ685943	Cosmopolitan
JQ685997	Bats
KX148146	Cosmopolitan
JQ685947	Bats
JQ685905	Bats
JX088694	Asian
KX148116	Cosmopolitan
JQ970481	Asian
AF351832	Bats
AF369311	Cosmopolitan
JQ685897	Bats
JQ970485	Asian
KX148162	Cosmopolitan
KX148231	Africa-2
KX148165	Cosmopolitan
GU358653	Asian
KM016899	Cosmopolitan
KX148170	Cosmopolitan
AF369333	Cosmopolitan
JQ686010	Bats
KF726852	Asian
KC595281	Cosmopolitan
JQ685994	RAC-SK
KX148114	Cosmopolitan
KC595282	Cosmopolitan
AF369302	Africa-3
AB517660	Cosmopolitan
KX148221	Africa-3
JQ970480	Asian
JQ685925	Bats
KX148140	Cosmopolitan
KX148133	Cosmopolitan
KX148260	Asian
JQ685975	Cosmopolitan
GU345748	Asian
KX148244	Africa-2
KX148224	Arctic
JQ685911	Bats
JQ685916	Bats
JQ685955	Bats
JQ685968	RAC-SK
KX148238	Africa-2
AB383165	Bats
KX148108	Indian-Sub
JQ730682	Asian
KX148206	Cosmopolitan
AF369347	Bats
JQ647510	Asian
KX148228	Arctic
NC_001542	Cosmopolitan
KX148250	Asian
JQ944705	Cosmopolitan
AB247428	Bats
KX148180	Cosmopolitan
AB383164	Bats
KX148110	Cosmopolitan
FJ866836	Asian
AB362483	Cosmopolitan
KX148229	Africa-2
KX148219	Africa-3
AB981664	Asian
JQ685909	Bats
JQ423952	Asian
KX148268	Bats
EU086155	Asian
JQ944704	Cosmopolitan
AF351831	Bats
AB041966	Indian-Sub
KC737850	Cosmopolitan
KC196743	Africa-2
EF611853	Arctic
KC171644	Arctic
JQ685901	RAC-SK
KX148204	Cosmopolitan
KX148269	Bats
JQ685986	RAC-SK
JX473840	Cosmopolitan
JX473841	Cosmopolitan
KX148137	Cosmopolitan
JQ685942	Bats
KX148262	Asian
JQ970482	Asian
KX148205	Cosmopolitan
KX148213	Cosmopolitan
AF351836	Bats
JQ685983	Arctic
KX148148	Cosmopolitan
KX148212	Cosmopolitan
JQ685996	Bats
KX148158	Cosmopolitan
KX148175	Cosmopolitan
AF351862	Bats
JQ685906	Bats
HQ450386	Cosmopolitan
AF351839	Bats
KJ564280	Asian
KC171645	Arctic
AF369350	Bats
AB519642	Bats
KX148176	Cosmopolitan
KX148257	Asian
KX148101	Cosmopolitan
KF620488	Asian
EU086205	Asian
KX148183	Cosmopolitan
AY039227	Bats
KX148203	Cosmopolitan
JQ685998	Bats
JQ686006	Bats
KX148169	Cosmopolitan
KX148106	Arctic
AF325466	Cosmopolitan
JQ685933	Bats
AF369340	Bats
KF620487	Asian
KF155001	Cosmopolitan
EU293116	Bats
AB519641	Bats
KX148153	Cosmopolitan
EU853614	Africa-2
JQ970487	Asian
KX148118	Cosmopolitan
FJ866835	Asian
JN786877	Asian
KF977826	Africa-2
KX148246	Indian-Sub
HQ450385	Asian
JQ685995	Cosmopolitan
JQ685952	Bats
KX148185	Cosmopolitan
GU644682	Bats
JQ685980	Arctic
AF369331	Cosmopolitan
KX148189	Cosmopolitan
JX473839	Cosmopolitan
KC171643	Arctic
KX148172	Cosmopolitan
GU644683	Bats
KX148144	Cosmopolitan
KX148199	Cosmopolitan
KX148105	Arctic
AF325484	Africa-2
KX148103	Cosmopolitan
KF154997	Cosmopolitan
KX148240	Africa-2
KX148142	Cosmopolitan
JQ686012	Bats
KX148167	Cosmopolitan
KC762941	Asian
JQ685894	Cosmopolitan
JQ685960	Bats
JQ944706	Cosmopolitan
AF369301	Africa-3
KX148222	Africa-3
JQ685929	RAC-SK
JQ686007	Bats
AY705373	Bats
JQ685987	Cosmopolitan
AF467949	Africa-3
KX148179	Cosmopolitan
KX148210	Cosmopolitan
AF369346	Bats
JQ944707	Arctic
JQ685910	Bats
KX148182	Cosmopolitan
AF325469	Cosmopolitan
KC193267	Asian
JQ685913	Bats
KX148201	Cosmopolitan
JX473838	Cosmopolitan
KX148239	Africa-2
KX148233	Africa-2
JQ686013	Bats
AF369297	Cosmopolitan
KX148187	Cosmopolitan
KX148209	Cosmopolitan
AB383166	Bats
JQ685902	Bats
JQ685965	Bats
JQ685936	Bats
JQ685895	Bats
KX148173	Cosmopolitan
KX148132	Cosmopolitan
AF369329	Cosmopolitan
KX148243	Africa-2
KX148126	Cosmopolitan
KX148223	Africa-3
JQ685979	Bats
EF437215	Arctic
KM272192	Arctic
EU293115	Cosmopolitan
JQ685974	Bats
KX148111	Cosmopolitan
KX148266	Asian
KX148141	Cosmopolitan
AF369280	Cosmopolitan
KX148151	Cosmopolitan
JQ685941	Bats
JQ685919	Bats
KX148107	Africa-2
KF620489	Asian
KX148264	Asian
JQ685922	Bats
KX148217	Cosmopolitan
AY039226	Bats
KC169986	Asian
JQ685956	Bats
KX148115	Cosmopolitan
AF351838	Bats
JQ685954	RAC-SK
KX148192	Cosmopolitan
JQ685992	Indian-Sub
AY039229	Bats
KX148120	Cosmopolitan
FJ712195	Asian
KX148190	Cosmopolitan
AF369326	Africa-2
KX148163	Cosmopolitan
KX148131	Cosmopolitan
KC977995	Asian
JQ685984	Cosmopolitan
