acc	sub_clade
HQ850279	a
HQ639944	a
HQ639936	a
HM777358	j
EF407457	a
DQ988074	a
JF735138	a
JF735136	s
JN714194	a
EF108306	a
KM252792	xe
KM252791	xd
KM252790	xd
KM252789	xd
KJ567651	xc
KJ567650	xc
KJ567649	xc
KJ567646	xf
KJ567645	xb
EU781828	b
EU781827	b
KJ470619	d
KJ470618	e
JF735126	h
KJ439782	m
KJ439781	n
KJ439780	a
KJ439778	m
KJ439775	n
KJ439774	k
KJ439773	j
KJ439772	i
KJ439768	d
KC844050	f
KC844042	f
KC197238	t
KC248199	h
KC248198	h
KC248197	l
KC248196	l
KC248195	a
KC248194	e
KC248193	l
JX227977	o
JX227976	r
JX227972	m
JX227971	g
JX227970	n
JX227967	m
JX227963	g
JX227960	v
JX227959	v
JX227957	l
JX227955	i
JX227954	g
JX227953	k
JX227949	c
JF735123	g
JF735122	k
JF735121	h
JQ065709	b
JX183557	xe
JX183556	l
JX183554	a
JX183552	xb
JF735120	e
JF735115	r
JF735114	d
JF735113	j
JF735112	u
JF735111	m
HQ537009	v
HQ537008	v
AB661388	b
AB661382	b
AY859526	a
HM777359	j
EF424629	c
EF424628	l
EF424627	o
EF424626	p
EF424625	q
AY651061	c
EU246940	u
EU246939	t
EU246938	n
EU246936	f
EU246934	o
EU246932	e
EU246931	e
EU246930	a
DQ314806	g
DQ314805	e
FJ839870	l
FJ839869	t
FJ462441	n
FJ462440	o
FJ462439	r
FJ462438	k
FJ462437	d
FJ462436	c
FJ462435	b
FJ462434	q
FJ462433	m
FJ462432	g
FJ462431	p
EU408328	r
EU408329	s
EU643836	w
EU643834	w
AY051292	c
AF064490	a
FJ407092	i
EU158186	v
EU798761	v
EU798760	v
EU408332	xa
EU408331	xa
EU408330	xa
FJ025856	w
FJ025855	w
FJ025854	a
AB031663	k
MZ171134	a
AM910652	g
EU392175	f
EU392174	f
EU392173	k
EU392172	d
EU392171	k
EF632071	t
HPCPOLP	a
HPCJ8G	b
DQ418789	a
DQ418786	d
DQ835770	i
DQ835769	j
DQ835768	n
DQ835767	m
DQ835766	m
DQ835762	i
DQ835761	j
DQ835760	f
DQ278894	n
HPCPLYPRE	a
HPCHUMR	b
HPCCGAA	a
HPCJCG	b
DQ278892	w
HPCFG	b
D84265	h
D84264	k
D84263	d
D84262	b
AB047639	a
AB030907	b
Y13184	a
Y12083	a
Y11604	a
D50409	c
HPCJK049E1	k
HPCJK046E2	g
HPCK3A	a
HPCEGS	a
HPCCGS	c
X76918	a
AJ278830	a
EF589161	f
MH921830	a
MH885469	a
MG879000	xh
MH590700	a
MH590698	a
FN666428	q
FN666429	q
KU861171	a
KX092342	b
DQ155561	i
