acc	sub_clade
JQ685990	A
KX148152	NEE
KX148117	CE
FJ712194	SEA1b
KX148112	AM2a
JQ685950	EF-W1
KX148253	SEA3
AF325495	MYsp
KF155002	AF1b
KX148225	AL1b
GU345746	SEA1a
JQ685920	EF-E1
KX148254	SEA3
KF155000	CA2
KX148196	AF1a
KX148226	AL1b
JQ686001	LN
AF325467	AF1a
AF351859	EF-E1
JQ685946	EF-W1
KF154998	AF4
AB383170	EFu
KX148247	SEA3
KX148202	AF1a
JQ685917	EF-W1
KX148161	YUGFOX
JQ970484	SEA1b
KX148248	SEA3
KX148194	AF1a
JQ685989	AM2a
JQ685985	AM2a
AB645847	AM1
KX148154	NEE
JQ685967	AM1
KX148188	ME1a
JQ685964	EF-W1
JQ685999	LC
JQ685940	EF-W1
JQ970486	SEA1b
JQ685918	MYsp
KX148193	AF1a
KX148251	SEA3
KX148128	WE
JQ685943	AM2b
JQ685997	MYsp
KX148146	NEE
JQ685947	LC
JQ685905	TB1
JX088694	SEA2a
KX148116	CE
JQ970481	SEA1b
AF351832	EF-E2
AF369311	CA1
JQ685897	EF-W1
JQ970485	SEA1b
KX148162	ME2
KX148165	ME2
GU358653	SEA2a
KM016899	CA1
KX148170	ME1a
AF369333	AF1b
JQ686010	EF-E1
KF726852	SEA2b
KC595281	CA1
KX148114	CE
KC595282	CA1
AB517660	AM3b
JQ970480	SEA2a
JQ685925	EF-E2
KX148140	EE
KX148133	WE
KX148260	SEA4
JQ685975	Vac2
GU345748	SEA1b
KX148224	A
JQ685911	EF-W1
JQ685916	LI
JQ685955	MYu
AB383165	EFu
JQ730682	SEA3
KX148206	AF1b
AF369347	LC
JQ647510	SEA1b
KX148228	AL3
NC_001542	Vac
KX148250	SEA3
JQ944705	CA1
AB247428	DR
KX148180	ME1a
AB383164	LC
KX148110	AM2a
FJ866836	SEA1b
AB362483	AM3b
AB981664	SEA3
JQ685909	EF-W1
JQ423952	SEA1b
KX148268	DR
EU086155	SEA4
JQ944704	NEE
AF351831	EF-E2
KC737850	AM3a
EF611853	A
KC171644	AL2
KX148204	AF1b
KX148269	TB2
JX473840	AF1b
JX473841	AF1b
KX148137	EE
JQ685942	EF-W2
KX148262	SEA4
JQ970482	SEA1b
KX148205	AF1b
KX148213	AM1
AF351836	MYsp
JQ685983	AL2
KX148148	NEE
KX148212	CA2
JQ685996	EF-E2
KX148158	NEE
KX148175	ME1a
AF351862	EF-E2
JQ685906	EF-W1
HQ450386	AM2a
AF351839	MYsp
KJ564280	SEA1b
KC171645	AL2
AF369350	EF-E2
AB519642	DR
KX148176	ME1a
KX148257	SEA3
KX148101	AF4
KF620488	SEA5
EU086205	SEA4
KX148183	ME1a
AY039227	EF-E2
KX148203	AF1b
JQ685998	MYsp
JQ686006	AP
KX148169	ME1a
KX148106	A
AF325466	AF1a
JQ685933	EF-W1
AF369340	EF-E2
KF620487	SEA5
KF155001	AF1a
EU293116	TB2
AB519641	DR
KX148153	NEE
JQ970487	SEA1b
KX148118	CE
FJ866835	SEA1b
JN786877	SEA3
HQ450385	SEA1b
JQ685995	Vac2
JQ685952	PH
KX148185	ME1a
GU644682	EF-W2
JQ685980	A
AF369331	AF1a
KX148189	ME1a
JX473839	AF1b
KC171643	AL2
KX148172	ME1a
GU644683	EF-W2
KX148144	EE
KX148199	AF1a
KX148105	A
KX148103	AF1b
KF154997	NEE
KX148142	EE
JQ686012	MYsp
KX148167	ME2
KC762941	SEA1b
JQ685894	AM4
JQ685960	EF-W1
JQ944706	CA2
JQ686007	LB2
AY705373	PS
JQ685987	AM1
KX148179	ME1a
KX148210	AF1c
AF369346	LN
JQ944707	A
JQ685910	LX
KX148182	ME1a
AF325469	AF1a
KC193267	SEA1b
JQ685913	EF-W1
KX148201	AF1a
JX473838	AF1b
JQ686013	MYsp
AF369297	AF1b
KX148187	ME1a
KX148209	AF1c
JQ685902	LB2
JQ685965	PH
JQ685936	DR
JQ685895	LN
KX148173	ME1a
KX148132	WE
AF369329	Vac2
KX148126	WE
JQ685979	MYsp
EF437215	AL1a
KM272192	AL2
EU293115	WE
JQ685974	EF-W1
KX148111	AM2a
KX148266	SEA1b
KX148141	EE
AF369280	ME1a
KX148151	NEE
JQ685941	EF-W1
JQ685919	LB1
KF620489	SEA5
KX148264	SEA2a
JQ685922	PS
KX148217	AM3b
AY039226	EF-E1
KC169986	SEA1b
JQ685956	EF-W1
KX148115	CE
AF351838	MYsp
KX148192	ME1b
AY039229	EF-E2
KX148120	CE
FJ712195	SEA2b
KX148190	ME1a
KX148163	ME2
KX148131	WE
KC977995	SEA1b
JQ685984	Vac2
KX148265	SEA1b
KX148186	ME1a
KX148267	SEA1a
JN609295	SEA1b
JQ970483	SEA1b
JQ685921	PH
AF369341	EF-W2
KX148102	AM2a
AF369343	MYsp
JQ685944	AM1
AF351854	EF-E1
KX148207	AF1b
KX148100	DR
KX148258	SEA3
KX148249	SEA3
AB383163	LC
KX148261	SEA4
KC595280	CA1
JQ685899	AM2b
AF369357	EF-E2
JQ685977	EF-W2
AB981663	SEA3
AF351861	EF-E2
KX148134	WE
JQ685903	EF-W2
JQ686009	PS
JQ685981	AL1a
KX148184	ME1a
AB383168	EFu
KC252634	SEA1b
KC595283	CA1
AY170413	EF-W1
KX148159	CA1
KX148200	AF1a
KX148109	DR
KX148130	WE
KX148216	AM3a
KX148160	CA3
KX148122	CE
KX148166	ME2
AF351850	TB2
JQ685970	AM4
JQ685945	EF-W1
AF351855	EF-E2
KX148121	CE
GU345747	SEA1a
JQ685949	EF-W1
JQ686008	MYu
KF726853	SEA1b
AF351860	EF-E1
AF351830	EF-W2
KX148124	CE
AY956319	AL1a
AB517659	AM3a
JQ685951	EF-W1
JQ685953	DR
JQ944708	CA3
JQ685915	LI
KX148150	NEE
KX148211	AF1c
AF325477	AM2a
GU647092	SEA2b
JQ686011	MYsp
JQ686003	PS
KX148252	SEA3
KX148149	NEE
HE802676	AL1a
KX148127	WE
KX148191	ME1b
KX148135	WE
KX148215	AM3a
JQ685963	TB1
JQ685923	EF-W1
KX148168	ME1a
AF369317	AL3
JQ685982	A
KX148197	AF1a
JQ685927	EF-W1
JQ685971	AP
JQ685959	EF-W1
KX148177	ME1a
AF351849	TB1
AF369285	AM1
JQ685907	EF-W1
KX148208	AF1b
JQ686004	LN
AF369289	AM2a
KX148113	CE
KX148171	ME1a
KX148263	SEA4
HE802675	AL1a
AY352459	AL2
KX148143	EE
KX148259	SEA4
KX148139	EE
EU086146	SEA1b
JQ685939	EF-W1
KF154996	AL1a
JQ685926	EF-W1
KP723638	AF1a
JQ685969	EF-W1
EU293111	SEA3
KX148178	ME1a
KX148136	EE
JQ685931	EF-W2
KX148195	AF1a
KX148145	EE
EU643590	SEA2a
AY352487	A
AF351835	MYsp
JQ685900	LS
KX148104	YUGCOW
JQ685957	MYsp
FJ712196	SEA2b
KX148227	AL1b
